Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
1,489,338,-87.7231842393,41.7932048804,-87.7136058279,41.7932777583,23.33348613339445,24.0
2,338,288,-87.7136058279,41.7932777583,-87.703554078,41.793513908,20.564634425852397,21.0
3,288,204,-87.703554078,41.793513908,-87.6937979381,41.7936908091,23.320307128122852,23.6
4,204,472,-87.6937979381,41.7936908091,-87.6840417707,41.7938765823,23.1119642447857,23.0
5,472,148,-87.6840417707,41.7938765823,-87.6743005662,41.7939163166,28.56749942699977,29.0
6,148,498,-87.6743005662,41.7939163166,-87.6645818143,41.7940243631,22.236190694476278,22.5
7,498,257,-87.6645818143,41.7940243631,-87.6548742481,41.7941718792,24.024868209947282,24.0
8,257,494,-87.6548742481,41.7941718792,-87.645160181,41.7943014258,21.902589961035986,22.0
9,494,268,-87.645160181,41.7943014258,-87.6311268155,41.7945346537,27.089502635801054,27.66666667
10,268,388,-87.6311268155,41.7945346537,-87.6257010468,41.7946431868,21.98086179234472,23.0
11,388,389,-87.6257010468,41.7946431868,-87.6159777837,41.7947387514,22.26598670639468,23.0
12,414,450,-87.7915759421,41.7921561784,-87.8015483514,41.7919646845,27.512720605089616,28.5
13,413,414,-87.7817994463,41.7923206863,-87.7915759421,41.7921561784,27.04985101994041,27.5
14,493,0,-87.7720738732,41.7933737658,-87.77935,41.7924861906,24.545381618152646,27.0
15,132,493,-87.76223503,41.79264249,-87.7720738732,41.7933737658,27.56520742608343,27.0
16,133,132,-87.7525074215,41.7928878304,-87.76223503,41.79264249,27.56520742608343,27.0
17,479,133,-87.7419814392,41.7930335549,-87.7525074215,41.7928878304,29.530712812285124,30.0
19,299,319,-87.7203072881,41.6913159037,-87.7206780816,41.698563071,29.87921155168462,30.0
20,319,355,-87.7206780816,41.698563071,-87.7209583305,41.7059038427,26.119413247765298,26.0
21,355,396,-87.7209583305,41.7059038427,-87.7211753777,41.7131728072,27.710978684391474,27.15
22,396,422,-87.7211753777,41.7131728072,-87.7213758725,41.7205363916,26.826037130414853,27.0
23,422,138,-87.7213758725,41.7205363916,-87.7217672671,41.7279259853,27.6262892505157,27.0
24,138,467,-87.7217672671,41.7279259853,-87.7214672168,41.7348569432,31.221178088471234,31.0
25,467,339,-87.7214672168,41.7348569432,-87.7217297573,41.7421800119,23.45484758193903,23.0
26,339,466,-87.7217297573,41.7421800119,-87.7219239835,41.7495525981,24.93089617235778,25.0
27,466,137,-87.7219239835,41.7495525981,-87.7224225784,41.7641012309,28.406715562686227,29.0
28,137,118,-87.7224225784,41.7641012309,-87.7226265936,41.7713749274,21.65711666284735,22.0
29,118,119,-87.7226265936,41.7713749274,-87.7228106739,41.7786592102,24.167201466880588,24.61904762
30,119,311,-87.7228106739,41.7786592102,-87.7230120465,41.7859375521,24.81320192528077,25.0
31,311,489,-87.7230120465,41.7859375521,-87.7231842393,41.7932048804,23.341966536786614,24.0
32,489,485,-87.7231842393,41.7932048804,-87.7234813825,41.802319903,22.06979142791657,22.70588235
33,485,184,-87.7234813825,41.802319903,-87.7236331985,41.8078845965,22.087783635113453,22.86956522
34,184,183,-87.7236331985,41.8078845965,-87.7239126305,41.8151964653,25.293261517304607,25.66666667
35,183,267,-87.7239126305,41.8151964653,-87.7241023179,41.8229917212,26.279394911757965,27.0
36,267,261,-87.7241023179,41.8229917212,-87.7244169525,41.8368832391,30.480288792115516,31.0
37,261,260,-87.7244169525,41.8368832391,-87.7246042169,41.844256132,21.43318817327527,22.0
