Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
400,456,347,-87.6878846477,41.9321679414,-87.6877498545,41.9279818073,18.830506532202612,18.89473684
401,238,456,-87.688164821,41.9394608157,-87.6878846477,41.9321679414,25.50240660096264,26.33333333
402,237,238,-87.6882577202,41.946730809,-87.688164821,41.9394608157,20.908778363511345,21.14285714
403,495,237,-87.688466237,41.9540127406,-87.6882577202,41.946730809,23.760829704331883,24.0
404,282,495,-87.6886829943,41.9613128481,-87.688466237,41.9540127406,26.363740545496217,27.0
405,281,282,-87.6889065808,41.9686149246,-87.6886829943,41.9613128481,21.74467109786844,22.0
406,240,281,-87.6891506986,41.9758915418,-87.6889065808,41.9686149246,24.972839789135914,25.5
407,165,240,-87.6894483335,41.9831676866,-87.6891506986,41.9758915418,25.18874627549851,27.0
408,427,165,-87.6896878167,41.9904812394,-87.6894483335,41.9831676866,27.288448315379327,28.0
409,504,343,-87.6440073209,41.7506405185,-87.634195357,41.7507416333,21.353311941324776,20.0
410,343,126,-87.634195357,41.7507416333,-87.6245261121,41.7509670613,19.828329131331653,19.0
411,126,464,-87.6245261121,41.7509670613,-87.6149529585,41.7511357532,19.674192069676828,19.0
412,464,162,-87.6149529585,41.7511357532,-87.6051897028,41.7512528176,17.62949805179922,17.0
413,162,161,-87.6051897028,41.7512528176,-87.5954137754,41.7513124478,22.417487966995186,22.2
414,161,405,-87.5954137754,41.7513124478,-87.5857798097,41.7514866523,21.54435021774009,22.0
415,331,425,-87.7316053336,41.749341041,-87.7413788983,41.7491988649,30.45564978225991,31.0
416,466,331,-87.7219239835,41.7495525981,-87.7316053336,41.749341041,29.278363511345404,29.0
417,336,466,-87.7118891515,41.749683436,-87.7219239835,41.7495525981,20.69676827870594,20.0
418,318,336,-87.7024147449,41.7497131344,-87.7118891515,41.749683436,26.920352968141874,27.0
419,126,343,-87.6245261121,41.7509670613,-87.634195357,41.7507416333,20.486133394453358,20.0
420,464,126,-87.6149529585,41.7511357532,-87.6245261121,41.7509670613,19.44189777675911,18.0
421,162,464,-87.6051897028,41.7512528176,-87.6149529585,41.7511357532,20.281343112537247,20.0
422,161,162,-87.5954137754,41.7513124478,-87.6051897028,41.7512528176,20.104744441897775,19.0
423,405,161,-87.5857798097,41.7514866523,-87.5954137754,41.7513124478,22.718542287416916,23.0
424,390,182,-87.6820559707,41.7209458137,-87.6727269932,41.7210268009,24.605546642218656,25.0
425,182,433,-87.6727269932,41.7210268009,-87.6626457403,41.7212001622,23.763809305523722,23.66666667
426,433,346,-87.6626457403,41.7212001622,-87.652943788,41.7212894123,26.160440064176026,27.0
