Knoten1,Knoten2,Zähler,Zähler_normalisiert
431,497,357,0.9444271481942714
497,535,317,0.950653798256538
535,441,311,0.9515877957658779
441,332,1012,0.8424657534246576
332,234,1012,0.8424657534246576
234,15,1012,0.8424657534246576
15,516,1015,0.8419987546699875
516,22,1016,0.8418430884184309
22,364,1012,0.8424657534246576
364,276,1010,0.8427770859277709
276,76,1010,0.8427770859277709
76,428,1010,0.8427770859277709
428,442,82,0.9872353673723536
430,77,135,0.9789850560398505
77,478,135,0.9789850560398505
478,316,520,0.9190535491905355
316,411,520,0.9190535491905355
411,361,520,0.9190535491905355
361,389,520,0.9190535491905355
498,236,37,0.9942403486924035
236,215,37,0.9942403486924035
215,149,37,0.9942403486924035
149,150,37,0.9942403486924035
150,507,37,0.9942403486924035
507,424,103,0.9839663760896638
424,504,103,0.9839663760896638
504,343,326,0.949252801992528
343,126,326,0.949252801992528
126,464,326,0.949252801992528
456,347,96,0.9850560398505604
347,250,96,0.9850560398505604
250,520,96,0.9850560398505604
520,502,437,0.9319738480697385
502,482,290,0.9548567870485679
482,496,418,0.934931506849315
496,431,168,0.9738480697384807
497,263,40,0.9937733499377335
263,505,40,0.9937733499377335
505,488,85,0.9867683686176837
488,531,52,0.9919053549190535
531,483,109,0.9830323785803238
483,526,38,0.9940846824408468
526,527,266,0.9585927770859277
527,25,316,0.9508094645080947
25,6,171,0.9733810709838107
6,515,238,0.9629514321295143
515,445,115,0.9820983810709838
445,442,714,0.888854296388543
417,451,217,0.9662204234122043
451,247,253,0.9606164383561644
247,478,253,0.9606164383561644
407,505,220,0.9657534246575342
477,527,106,0.9834993773349938
25,528,507,0.9210772104607721
528,445,714,0.888854296388543
522,354,472,0.9265255292652553
354,410,472,0.9265255292652553
410,198,472,0.9265255292652553
198,147,472,0.9265255292652553
147,146,472,0.9265255292652553
146,415,472,0.9265255292652553
415,122,305,0.9525217932752179
122,348,305,0.9525217932752179
348,170,305,0.9525217932752179
170,169,305,0.9525217932752179
169,279,305,0.9525217932752179
279,460,305,0.9525217932752179
460,248,166,0.974159402241594
248,249,166,0.974159402241594
249,262,166,0.974159402241594
262,434,166,0.974159402241594
434,40,14,0.9978206724782067
40,447,14,0.9978206724782067
447,153,60,0.9906600249066002
153,474,60,0.9906600249066002
474,416,133,0.9792963885429639
416,401,133,0.9792963885429639
401,402,133,0.9792963885429639
402,463,133,0.9792963885429639
463,309,318,0.9504981320049813
309,500,318,0.9504981320049813
500,304,376,0.9414694894146949
304,506,376,0.9414694894146949
506,458,370,0.9424034869240349
458,295,336,0.9476961394769614
295,459,336,0.9476961394769614
520,482,1110,0.8272104607721046
505,532,177,0.9724470734744708
532,13,840,0.8692403486924035
13,530,840,0.8692403486924035
530,443,540,0.9159402241594022
443,452,378,0.9411581569115816
452,172,281,0.9562577833125778
172,438,281,0.9562577833125778
438,528,266,0.9585927770859277
522,266,68,0.9894146948941469
266,265,68,0.9894146948941469
265,440,68,0.9894146948941469
440,283,66,0.9897260273972602
283,381,66,0.9897260273972602
381,380,66,0.9897260273972602
380,400,66,0.9897260273972602
400,521,66,0.9897260273972602
521,175,66,0.9897260273972602
