Routes,Month,Code
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,06_47_23          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,07_02_24          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,07_17_25          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,07_32_26          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,07_47_27          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,08_02_29          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,08_17_30          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,08_32_32          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,08_47_34          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,09_02_35          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,09_17_36          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,09_32_37          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,09_47_39          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,10_02_40          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 269, 212, 213, 519, 481, 510, 406, 531, 12, 529, 522, 525, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,10_17_41          
