Routes,Month,Code
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,04_17_08          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,04_32_09          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,04_47_11          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,05_02_13          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,05_17_14          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,05_32_15          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,05_47_17          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,06_02_19          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,06_17_20          
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 188, 189, 494, 225, 452, 123, 124, 428, 425, 374, 270, 271, 273, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160]",Mai,06_32_22          
